ID,Protein_type,Buffer_type,Stabilizer_type,Surfactant_type,Salt_type,Excipient_type,Protein_conc,Temperature,Buffer_conc,Stabilizer_conc,Surfactant_conc,Salt_conc,Excipient_conc,Protein_class_type,kP,MW,PI_mean,PI_range,C_Class,HCI,Buffer_pH
0,poly-hIgG,Histidine,Sucrose,Tween-20,NaCl,Arginine,122.60439514440365,30.791177985586863,6.627802787526979,0.06052639418812722,0.3811645304224701,160.97510593452978,14.331617880578822,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
1,poly-hIgG,Histidine,Sucrose,Tween-20,NaCl,Arginine,421.39356947230465,26.380072750876508,182.07463967175642,0.5258403951534838,0.6146470022302797,94.24539519677342,250.63430320375025,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
2,poly-hIgG,Histidine,Sucrose,Tween-20,NaCl,Arginine,355.65858011726687,38.54567218057743,138.1275254767698,0.3872365487791649,0.03447376560148359,134.73342403511742,194.51473559487755,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
3,poly-hIgG,Histidine,Sucrose,Tween-20,NaCl,Arginine,264.5474031870131,8.187532643872618,84.85377937137655,0.6443233005852476,0.5610722584296065,61.33115985091864,117.37177405276627,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
4,poly-hIgG,Histidine,Sucrose,Tween-20,NaCl,Arginine,84.57105079324522,16.42848669924829,50.95846619486888,0.8064980535131581,0.9348349283723696,25.181611758605243,151.8266513234515,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
5,poly-hIgG,Histidine,Sucrose,Tween-20,NaCl,Lysine,234.77007372990894,33.31983792871042,79.80282244240617,0.632157483497794,0.0825713904823883,151.01179079185502,74.89246369088306,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
6,poly-hIgG,Histidine,Sucrose,Tween-20,NaCl,Lysine,373.6307802521625,11.712141377815884,102.44895079735586,0.8089370841557525,0.42161966616339147,108.85467897924227,43.28794213323746,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
7,poly-hIgG,Histidine,Sucrose,Tween-20,NaCl,Lysine,157.80004251527373,27.173902560089672,187.70483404374397,0.009649196707277107,0.6323590443463042,18.59486971609584,150.87068724255076,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
8,poly-hIgG,Histidine,Sucrose,Tween-20,NaCl,Lysine,405.4873319849211,17.003685200229352,122.67385684096533,0.40042365114517586,0.39324706913686075,75.25757591630612,194.32806972138917,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
9,poly-hIgG,Histidine,Sucrose,Tween-20,NaCl,Lysine,87.3862531006694,37.812205727241185,28.859232266100413,0.2897909818820554,0.9898760475403126,181.96118482689852,266.6750062703207,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
10,poly-hIgG,Histidine,Sucrose,Tween-20,NaCl,Proline,487.7434490326128,25.548076321454253,144.050325032719,0.0061632103711156015,0.9675365750428867,85.70825305772914,230.2172837357361,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
11,poly-hIgG,Histidine,Sucrose,Tween-20,NaCl,Proline,66.20380510340826,10.062573968764566,95.86193997175643,0.40901276718630014,0.31771984382652524,42.41432752086422,64.39507843478638,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
12,poly-hIgG,Histidine,Sucrose,Tween-20,NaCl,Proline,128.44282580571345,39.875442490858596,48.86350785779393,0.8198489623093772,0.49522743604408753,32.113492443660654,289.15240616115744,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
13,poly-hIgG,Histidine,Sucrose,Tween-20,NaCl,Proline,315.4604860874481,33.04165700278742,19.060984123276445,0.35931522334035515,0.7397439324194641,120.9138209387826,163.40249318674134,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
14,poly-hIgG,Histidine,Sucrose,Tween-20,NaCl,Proline,231.6489877478678,15.8887349228304,188.52835579898598,0.7706880898054441,0.045567881809563796,181.855224747332,42.72722396299152,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
15,poly-hIgG,Histidine,Sucrose,Tween-20,NaCl,None,42.68693430524943,17.417656670910702,169.60672045588333,0.8376614465980786,0.09795422895985526,128.82641310408852,0.0,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
16,poly-hIgG,Histidine,Sucrose,Tween-20,NaCl,None,420.3886695539955,29.793567972218447,143.9385937335414,0.06574471203904046,0.6745064340292826,86.39670577067301,0.0,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
17,poly-hIgG,Histidine,Sucrose,Tween-20,NaCl,None,127.58365114872322,23.814282187910106,82.03017631001325,0.7062491585739222,0.8377788067135997,45.38892518945185,0.0,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
18,poly-hIgG,Histidine,Sucrose,Tween-20,NaCl,None,237.01570673468993,39.699765479796284,78.41548478389161,0.3760240182142775,0.25953810678717215,38.23697669047917,0.0,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
19,poly-hIgG,Histidine,Sucrose,Tween-20,NaCl,None,329.9793211896779,11.712797208410375,26.099004121939917,0.5692149730369908,0.5787257374006292,194.98441682961024,0.0,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
20,poly-hIgG,Histidine,Sucrose,Tween-20,None,Arginine,309.4395723309688,20.305748523444844,69.75172371443821,0.6756299035507733,0.21319431834212715,0.0,114.90319278367342,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
21,poly-hIgG,Histidine,Sucrose,Tween-20,None,Arginine,137.0770233272038,22.236340822564724,179.64454821829227,0.8502984562674992,0.023901704478758147,0.0,210.05120149014337,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
22,poly-hIgG,Histidine,Sucrose,Tween-20,None,Arginine,420.5094883796982,39.64689734909627,91.33170455083669,0.4454194534959905,0.9867060129630509,0.0,293.6964503079962,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
23,poly-hIgG,Histidine,Sucrose,Tween-20,None,Arginine,260.9905339021471,12.313032383817857,30.782931922074972,0.23141453506784124,0.5985857076028414,0.0,49.13384599744368,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
24,poly-hIgG,Histidine,Sucrose,Tween-20,None,Arginine,36.17064726204191,30.535977067613352,140.25460466379207,0.06381093341904114,0.7888919146579314,0.0,135.97039269810114,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
25,poly-hIgG,Histidine,Sucrose,Tween-20,None,Lysine,225.81980053574395,35.17651957043451,181.48581457846657,0.5792549940704216,0.8066296300348533,0.0,220.75498074724314,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
26,poly-hIgG,Histidine,Sucrose,Tween-20,None,Lysine,179.96684487815736,8.910341189164196,99.97678559469752,0.9641519890422343,0.4499070846805049,0.0,12.421306806968515,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
27,poly-hIgG,Histidine,Sucrose,Tween-20,None,Lysine,44.61710949089413,28.340875181812798,16.48741996235548,0.3132620974316037,0.7379340452473386,0.0,77.13439389896112,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
28,poly-hIgG,Histidine,Sucrose,Tween-20,None,Lysine,309.7825319462884,25.960838573350838,135.91416877748122,0.1876999433149362,0.08978632356023628,0.0,293.2540336086136,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
29,poly-hIgG,Histidine,Sucrose,Tween-20,None,Lysine,424.44124080976786,14.692769901516446,42.98427516969315,0.655860755072332,0.25378714078766196,0.0,138.17683571597178,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
30,poly-hIgG,Histidine,Sucrose,Tween-20,None,Proline,261.23001277144056,36.187049663812225,60.15073830685039,0.8611016191985195,0.46950065004932195,0.0,128.21299168944378,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
31,poly-hIgG,Histidine,Sucrose,Tween-20,None,Proline,341.01570012035205,17.420970715378814,10.085536252022491,0.1578917077366921,0.178984777451979,0.0,54.86911603668672,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
32,poly-hIgG,Histidine,Sucrose,Tween-20,None,Proline,52.466733628646935,24.788599523844915,113.25001622417696,0.7302263812260211,0.6661856639623804,0.0,77.40096329250859,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
33,poly-hIgG,Histidine,Sucrose,Tween-20,None,Proline,126.00246263443321,31.6485233080187,199.1714946206206,0.24759466212761055,0.27070325722429334,0.0,212.14808536133674,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
34,poly-hIgG,Histidine,Sucrose,Tween-20,None,Proline,461.9067769662635,9.88409467304045,124.96439670512903,0.569342015186993,0.949823223687139,0.0,279.06322511393887,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
35,poly-hIgG,Histidine,Sucrose,Tween-20,None,None,263.71458077238634,23.403409534913713,104.80038156382535,0.6752601428646774,0.8688370647885785,0.0,0.0,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
36,poly-hIgG,Histidine,Sucrose,Tween-20,None,None,498.64141383219805,28.6314521424782,120.56897147489542,0.898142434516511,0.7776671793236339,0.0,0.0,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
37,poly-hIgG,Histidine,Sucrose,Tween-20,None,None,310.7357430678507,10.393107826919767,65.78448667649661,0.05626814222141825,0.013301139872797596,0.0,0.0,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
38,poly-hIgG,Histidine,Sucrose,Tween-20,None,None,43.164746433025755,39.879961349325576,35.181478228278365,0.24201932453312908,0.5920584295555085,0.0,0.0,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
39,poly-hIgG,Histidine,Sucrose,Tween-20,None,None,114.82102979900017,18.28204950901702,198.69893545842095,0.5798212223126887,0.23210534563556848,0.0,0.0,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
40,poly-hIgG,Histidine,Sucrose,Tween-80,NaCl,Arginine,221.2577308113376,9.064516258665073,58.793402484667844,0.005310180771977424,0.7526332884175281,54.123066269991305,296.09843573526666,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
41,poly-hIgG,Histidine,Sucrose,Tween-80,NaCl,Arginine,144.44223933481388,37.424912108461655,109.81456126378767,0.20266353996990558,0.5205364664724907,146.8617523537628,232.4905805756314,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
42,poly-hIgG,Histidine,Sucrose,Tween-80,NaCl,Arginine,388.85421992745574,20.898730226907343,176.95820654990905,0.8215814809104712,0.39698396378490747,176.0120529794322,34.78656439875403,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
43,poly-hIgG,Histidine,Sucrose,Tween-80,NaCl,Arginine,62.62691157058631,29.07834175831929,38.35595753603678,0.5528380549260226,0.15084750880864028,102.05557799261673,100.09964089531042,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
44,poly-hIgG,Histidine,Sucrose,Tween-80,NaCl,Arginine,422.8253875984261,17.77220613336903,129.13942594260922,0.7750274048886951,0.88423406554097,11.729708209177243,138.98730914530123,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
45,poly-hIgG,Histidine,Sucrose,Tween-80,NaCl,Lysine,205.7558803729583,38.03431449095206,150.05471595030855,0.1554762950019558,0.642759155862825,151.33167821091803,11.656409771334006,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
46,poly-hIgG,Histidine,Sucrose,Tween-80,NaCl,Lysine,26.73418534953147,24.500641706531724,100.82502474837898,0.6181518379972946,0.8418055734843332,73.84770848769972,135.06049728307846,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
47,poly-hIgG,Histidine,Sucrose,Tween-80,NaCl,Lysine,459.6991377256793,8.05499417127001,32.3780124894956,0.31790488343618994,0.011342484978892942,96.79187021317696,255.85495959242755,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
48,poly-hIgG,Histidine,Sucrose,Tween-80,NaCl,Lysine,139.5248997390438,32.119422596029615,78.42912612342059,0.5809907529066656,0.3279737398725863,36.316946832571595,109.80528557584138,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
49,poly-hIgG,Histidine,Sucrose,Tween-80,NaCl,Lysine,351.41086882462207,18.526837357385013,177.62670727480648,0.9313406312707537,0.48878848663513363,174.28139712525166,188.74028776191622,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
50,poly-hIgG,Histidine,Sucrose,Tween-80,NaCl,Proline,38.42370451975672,23.524951707934132,59.92216554824085,0.1987220916993693,0.48994152148504144,161.26646270744817,36.11641821591896,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
51,poly-hIgG,Histidine,Sucrose,Tween-80,NaCl,Proline,398.416259579608,19.239984558115953,82.73127819785616,0.6207977382678366,0.3052426226407166,75.3137220233819,115.27153670064156,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
52,poly-hIgG,Histidine,Sucrose,Tween-80,NaCl,Proline,201.72124617458704,33.18748193904245,21.31856664284114,0.31819865298323197,0.6469793633676935,117.09942189658422,150.09117186017795,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
53,poly-hIgG,Histidine,Sucrose,Tween-80,NaCl,Proline,113.74037705205176,11.763363870686007,169.08291422208978,0.8910581273447044,0.962538104073753,129.07051507493884,224.9042094571786,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
54,poly-hIgG,Histidine,Sucrose,Tween-80,NaCl,Proline,439.41074909579817,38.20785794807232,120.51152562436272,0.5366139203668703,0.13772289865324588,20.977591855730555,277.5513908990693,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
55,poly-hIgG,Histidine,Sucrose,Tween-80,NaCl,None,98.88730054357337,9.798971815886715,27.621137792190392,0.01338226727599472,0.7790350451429345,53.3425343955823,0.0,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
56,poly-hIgG,Histidine,Sucrose,Tween-80,NaCl,None,318.07460731937977,22.773971776377127,80.66784965938267,0.8462417660839254,0.34163451936758654,187.9473499396638,0.0,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
57,poly-hIgG,Histidine,Sucrose,Tween-80,NaCl,None,240.01563840624974,16.771104965985657,192.75120526328163,0.44388035352869865,0.42063826425308887,11.816481812963872,0.0,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
58,poly-hIgG,Histidine,Sucrose,Tween-80,NaCl,None,191.98615680975226,28.44372749738227,65.71935838716028,0.7837897148324663,0.995929210569406,92.46353118158402,0.0,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
59,poly-hIgG,Histidine,Sucrose,Tween-80,NaCl,None,410.99795459090905,34.855901280614894,140.1675714860804,0.2221557421888988,0.001720103852654775,145.9302115167637,0.0,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
60,poly-hIgG,Histidine,Sucrose,Tween-80,None,Arginine,277.75484553281046,17.481088186349098,157.02977191653292,0.6845120580469499,0.38277592236364527,0.0,32.682631356443714,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
61,poly-hIgG,Histidine,Sucrose,Tween-80,None,Arginine,33.23133682593145,13.577140481188382,3.9304548850886167,0.8136791651649627,0.5050865576588476,0.0,137.29748844284222,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
62,poly-hIgG,Histidine,Sucrose,Tween-80,None,Arginine,485.6524298939474,32.49022246253473,89.79102568829963,0.12287020155652366,0.035298405144471176,0.0,243.34800231370585,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
63,poly-hIgG,Histidine,Sucrose,Tween-80,None,Arginine,178.99251069909167,22.955660205665225,53.465174153747746,0.23472625271173486,0.777778967322232,0.0,118.50349670185717,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
64,poly-hIgG,Histidine,Sucrose,Tween-80,None,Arginine,371.02779677613154,36.03349440241901,162.1319678180613,0.40928798664422733,0.945390429608724,0.0,237.56183215589874,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
65,poly-hIgG,Histidine,Sucrose,Tween-80,None,Lysine,216.77478165450498,15.227868085015416,151.50919642606362,0.9539805698776089,0.10145138015090968,0.0,194.806625759141,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
66,poly-hIgG,Histidine,Sucrose,Tween-80,None,Lysine,29.576757398669905,8.338649667624516,117.70214597617365,0.1017809567186031,0.5323214733807813,0.0,143.88498643321736,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
67,poly-hIgG,Histidine,Sucrose,Tween-80,None,Lysine,495.7714309446704,25.02401312229376,196.74834540608526,0.6057522190040395,0.6822440712722619,0.0,89.53937443554064,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
68,poly-hIgG,Histidine,Sucrose,Tween-80,None,Lysine,101.92504691037358,37.629879862584104,63.42149074878272,0.2953756123065353,0.9885247040071174,0.0,298.5519873672011,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
69,poly-hIgG,Histidine,Sucrose,Tween-80,None,Lysine,369.2828252080036,29.835720017852303,17.615682236274303,0.5646219351006012,0.3378594959326653,0.0,13.783302017287227,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
70,poly-hIgG,Histidine,Sucrose,Tween-80,None,Proline,127.38739500364599,14.291821987336684,160.9641175027828,0.055079157575239936,0.2911575681981233,0.0,165.862779463979,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
71,poly-hIgG,Histidine,Sucrose,Tween-80,None,Proline,339.33688294024006,31.300662365315056,136.7577905420186,0.3477948836158712,0.19388087363600576,0.0,264.3908490149296,polyclonal,3.0,150.0,7.6,1.0,0.9,0.9,6.0
