ID,Protein_type,Protein_class_type,kP,MW,PI_mean,PI_range,Protein_conc,Temperature,Buffer_type,Buffer_pH,Buffer_conc,Salt_type,Salt_conc,Stabilizer_type,Stabilizer_conc,Surfactant_type,Surfactant_conc,Excipient_type,Excipient_conc,C_Class,HCI,Viscosity_100,Viscosity_1000,Viscosity_10000,Viscosity_100000,Viscosity_15000000
F1,poly-hIgG,polyclonal,3,150,7.6,1,145,27.5,PBS,7.4,10,NaCl,140,Sucrose,1,none,0,none,0,0.9,0.9,12.5,11.5,9.8,8.8,6.92
F2,none,none,0,,0,0,0,27.5,PBS,7.4,10,NaCl,140,Sucrose,1,none,0,none,0,0,0,3.25,3.25,3.25,3.25,3.25
F3,poly-hIgG,polyclonal,3,150,7.6,1,140,27.5,PBS,7.4,10,NaCl,140,none,0,none,0,none,0,0.9,0.9,4,4,4,3.5,2.41
F4,none,none,0,,0,0,0,25,PBS,7.4,10,NaCl,140,none,0,none,0,none,0,0,0,0.95,0.95,0.95,0.95,0.95
F5,poly-hIgG,polyclonal,3,150,7.6,1,142,27.5,PBS,7.4,10,NaCl,140,Sucrose,0.5,none,0,none,0,0.9,0.9,7.23,7.23,7.23,6.5,4.6
F6,poly-hIgG,polyclonal,3,150,7.6,1,70,27.5,PBS,7.4,10,NaCl,140,Sucrose,1,none,0,none,0,0.9,0.9,7.69,7.69,7.69,6.6,4.16
F7,poly-hIgG,polyclonal,3,150,7.6,1,93,27.5,PBS,7.4,10,NaCl,140,none,0,none,0,none,0,0.9,0.9,2.12,2.12,2.12,2.12,2
F8,poly-hIgG,polyclonal,3,150,7.6,1,47,27.5,PBS,7.4,10,NaCl,140,none,0,none,0,none,0,0.9,0.9,1.6,1.6,1.6,1.6,1.2
F9,poly-hIgG,polyclonal,3,150,7.6,1,140,27.5,PBS,7.4,10,NaCl,140,Sucrose,0.25,none,0,none,0,0.9,0.9,5.35,4.65,4.65,4.4,3.26
F10,poly-hIgG,polyclonal,3,150,7.6,1,52,27.5,PBS,7.4,10,NaCl,140,Sucrose,0.75,none,0,none,0,0.9,0.9,3.1,3.1,2.9,2.75,2.58
F11,poly-hIgG,polyclonal,3,150,7.6,1,145,27.5,PBS,7.4,10,NaCl,140,Sucrose,1,none,0,none,0,0.9,0.9,12.8,12.6,12.6,11,6.92
F12,poly-hIgG,polyclonal,3,150,7.6,1,137,27.5,PBS,7.4,10,NaCl,140,none,0,tween-20,0.1,none,0,0.9,0.9,3.6,3.6,3.6,3,2.25
F13,poly-hIgG,polyclonal,3,150,7.6,1,142,27.5,PBS,7.4,10,NaCl,140,Sucrose,1,tween-20,0.1,none,0,0.9,0.9,15,15,15,14,13
F14,none,none,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.1,none,0,none,0,0,0,1.15,1.15,1.15,1.15,1.15
F15,none,none,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.2,none,0,none,0,0,0,1.25,1.25,1.25,1.25,1.25
F16,none,none,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.4,none,0,none,0,0,0,1.5,1.5,1.5,1.5,1.5
F17,none,none,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.5,none,0,none,0,0,0,1.65,1.65,1.65,1.65,1.65
F18,none,none,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.75,none,0,none,0,0,0,2.25,2.25,2.25,2.25,2.25
F19,poly-hIgG,polyclonal,3,150,7.6,1,260,27.5,PBS,7.4,10,NaCl,140,none,0,none,0,none,0,0.9,0.9,23.5,21,19,14,6.5
F20,poly-hIgG,polyclonal,3,150,7.6,1,240,27.5,PBS,7.4,10,NaCl,140,Sucrose,1,none,0,none,0,0.9,0.9,66.6,49,33,28,18
F21,BSA,other,2,66,4.7,0.3,185,27.5,PBS,7.4,10,NaCl,140,Sucrose,0.41,none,0,none,0,0.85,0.9,7.9,7.9,7.5,6.6,3.58
F22,BSA,other,2,66,4.7,0.3,83.3,27.5,PBS,7.4,10,NaCl,140,Sucrose,0.19,none,0,none,0,0.85,0.9,1.9,1.9,1.9,1.9,1.56
F23,poly-hIgG,polyclonal,3,150,7.6,1,38.3,27.5,PBS,7.4,10,NaCl,140,none,0,tween-20,0.21,none,0,0.9,0.9,1.15,1.15,1.15,1.15,1.15
F24,poly-hIgG,polyclonal,3,150,7.6,1,124,27.5,PBS,7.4,10,NaCl,140,none,0,tween-20,0.09,none,0,0.9,0.9,2.6,2.6,2.6,2.6,2.6
F25,poly-hIgG,polyclonal,3,150,7.6,1,189,27.5,PBS,7.4,10,NaCl,140,none,0,tween-20,0.05,none,0,0.9,0.9,8,8,8,6.5,4.17
F26,poly-hIgG,polyclonal,3,150,7.6,1,95,27.5,PBS,7.4,10,NaCl,140,Sucrose,0.46,none,0,none,0,0.9,0.9,3.8,3.35,3.35,3,2.24
F27,poly-hIgG,polyclonal,3,150,7.6,1,164,27.5,PBS,7.4,10,NaCl,140,Sucrose,0.3,tween-20,0.1,none,0,0.9,0.9,6.8,6,5.8,4.9,4
F28,BSA,other,2,66,4.7,0.3,177,27.5,PBS,7.4,10,NaCl,140,none,0,none,0,none,0,0.85,0.9,4.4,4,4,3.8,3
F29,none,none,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,none,0,tween-20,0.1,none,0,0,0,1,1,1,1,1
F30,none,none,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,none,0,tween-20,0.05,none,0,0,0,0.97,0.97,0.97,0.97,0.97
F31,none,none,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.1,tween-20,0.1,none,0,0,0,1.2,1.2,1.2,1.2,1.2
F32,none,none,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.2,tween-20,0.1,none,0,0,0,1.3,1.3,1.3,1.3,1.3
F33,none,none,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.4,tween-20,0.1,none,0,0,0,1.55,1.55,1.55,1.55,1.55
F34,none,none,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.75,tween-20,0.1,none,0,0,0,2.32,2.32,2.32,2.32,2.32
F35,none,none,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.1,tween-20,0.05,none,0,0,0,1.17,1.17,1.17,1.17,1.17
F36,none,none,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.2,tween-20,0.05,none,0,0,0,1.27,1.27,1.27,1.27,1.27
F37,none,none,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.4,tween-20,0.05,none,0,0,0,1.52,1.52,1.52,1.52,1.52
F38,none,none,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.75,tween-20,0.05,none,0,0,0,2.29,2.29,2.29,2.29,2.29
F39,none,none,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,none,0,tween-80,0.1,none,0,0,0,1.07,1.07,1.07,1.07,1.07
F40,none,none,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,none,0,tween-80,0.05,none,0,0,0,1,1,1,1,1
F41,none,none,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.1,tween-80,0.1,none,0,0,0,1.27,1.27,1.27,1.27,1.27
F42,none,none,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.2,tween-80,0.1,none,0,0,0,1.38,1.38,1.38,1.38,1.38
F43,none,none,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.4,tween-80,0.1,none,0,0,0,1.64,1.64,1.64,1.64,1.64
F44,none,none,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.75,tween-80,0.1,none,0,0,0,2.42,2.42,2.42,2.42,2.42
F45,none,none,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.1,tween-80,0.05,none,0,0,0,1.2,1.2,1.2,1.2,1.2
F46,none,none,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.2,tween-80,0.05,none,0,0,0,1.3,1.3,1.3,1.3,1.3
F47,none,none,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.4,tween-80,0.05,none,0,0,0,1.55,1.55,1.55,1.55,1.55
F48,none,none,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,Sucrose,0.75,tween-80,0.05,none,0,0,0,2.32,2.32,2.32,2.32,2.32
F49,BGG,polyclonal,3,150,6.6,1,85,27.5,PBS,7.4,10,NaCl,140,Sucrose,0.22,none,0,none,0,0.9,0.9,3,3,3,3,2.95
F50,BGG,polyclonal,3,150,6.6,1,43.6,27.5,PBS,7.4,10,NaCl,140,none,0,tween-80,0.15,none,0,0.9,0.9,1.35,1.35,1.35,1.35,1.3
F51,BGG,polyclonal,3,150,6.6,1,64,27.5,PBS,7.4,10,NaCl,140,Sucrose,0.704,tween-80,0.037,none,0,0.9,0.9,3.15,3.15,3.15,3.15,3.15
F52,BGG,polyclonal,3,150,6.6,1,85.7,27.5,PBS,7.4,10,NaCl,140,none,0,tween-20,0.0624,none,0,0.9,0.9,2.38,2.38,2.38,2.3,2
F53,poly-hIgG,polyclonal,3,150,7.6,1,86.4,27.5,PBS,7.4,10,NaCl,140,none,0,tween-80,0.003,none,0,0.9,0.9,2.2,2.2,2.2,2,1.75
F54,poly-hIgG,polyclonal,3,150,7.6,1,141,27.5,PBS,7.4,10,NaCl,140,none,0,tween-80,0.1067,none,0,0.9,0.9,5.1,3.15,3.1,3.05,2.75
F55,poly-hIgG,polyclonal,3,150,7.6,1,75,27.5,PBS,7.4,10,NaCl,140,Sucrose,0.28,tween-20,0.228,none,0,0.9,0.9,2.5,2.18,2,1.9,1.73
F56,BSA,other,2,66,4.7,0.3,132,27.5,PBS,7.4,10,NaCl,140,Sucrose,0.46,tween-20,0.123,none,0,0.85,0.9,3.05,3.05,3.05,3.05,3.05
F57,BSA,other,2,66,4.7,0.3,83,27.5,PBS,7.4,10,NaCl,140,none,0,tween-20,0.218,none,0,0.85,0.9,1.95,1.93,1.6,1.55,1.47
F58,poly-hIgG,polyclonal,3,150,7.6,1,51.7,27.5,Histidine,6,100,NaCl,140,Sucrose,1.01,none,0,none,0,0.9,0.9,5.5,5.5,5.5,5.5,5.5
F59,poly-hIgG,polyclonal,3,150,7.6,1,118.7,27.5,Histidine,6,100,NaCl,140,Sucrose,0.53,none,0,none,0,0.9,0.9,5.5,4.5,4.4,4.2,3.88
