ID,Protein_type,Protein_class_type,kP,MW,PI_mean,PI_range,Protein_conc,Temperature,Buffer_type,Buffer_pH,Buffer_conc,Salt_type,Salt_conc,Stabilizer_type,Stabilizer_conc,Surfactant_type,Surfactant_conc,Excipient_type,Excipient_conc,C_Class,HCI,Viscosity_100,Viscosity_1000,Viscosity_10000,Viscosity_100000,Viscosity_15000000
F1,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,145.0,27.5,PBS,7.4,10.0,NaCl,140,Sucrose,1.0,none,0.0,none,0.0,0.9,0.9,14.38,13.23,11.27,9.24,6.92
F1_syn_1,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,145.0,27.5,PBS,7.4,10.0,NaCl,140,Sucrose,1.0,none,0.0,none,0.0,0.9,0.9,13.742014772964122,12.665625517152499,10.895799532507612,8.986862648080326,6.952296329808877
F1_syn_2,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,145.0,27.5,PBS,7.4,10.0,NaCl,140,Sucrose,1.0,none,0.0,none,0.0,0.9,0.9,15.137860603595392,13.959798382563083,11.969364379861378,9.796147779939844,7.517230617089252
F2,none,none,0.0,,0.0,0.0,0.0,27.5,PBS,7.4,10.0,NaCl,140,Sucrose,1.0,none,0.0,none,0.0,0.0,0.0,3.25,3.25,3.25,3.25,3.25
F2_syn_1,none,none,0.0,,0.0,0.0,0.0,27.5,PBS,7.4,10.0,NaCl,140,Sucrose,1.0,none,0.0,none,0.0,0.0,0.0,3.1878758773334064,3.160675258210756,3.1347469070720693,3.119647951164347,3.110666954461024
F2_syn_2,none,none,0.0,,0.0,0.0,0.0,27.5,PBS,7.4,10.0,NaCl,140,Sucrose,1.0,none,0.0,none,0.0,0.0,0.0,3.2085084081595525,3.2002627552606353,3.192565152210372,3.1881627831386994,3.1855784301189423
F3,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,140.0,27.5,PBS,7.4,10.0,NaCl,140,none,0.0,none,0.0,none,0.0,0.9,0.9,4.6,4.6,4.6,3.68,2.41
F3_syn_1,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,140.0,27.5,PBS,7.4,10.0,NaCl,140,none,0.0,none,0.0,none,0.0,0.9,0.9,5.246486847092527,5.2464868469560715,5.246471989995448,4.211377937756405,2.371997639454649
F3_syn_2,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,140.0,27.5,PBS,7.4,10.0,NaCl,140,none,0.0,none,0.0,none,0.0,0.9,0.9,4.506549428114784,4.5065494280079115,4.506537159964855,3.669336783849342,2.441963809828377
F4,none,none,0.0,,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140,none,0.0,none,0.0,none,0.0,0.0,0.0,0.95,0.95,0.95,0.95,0.95
