ID,Protein_type,Protein_class_type,kP,MW,PI_mean,PI_range,Protein_conc,Temperature,Buffer_type,Buffer_pH,Buffer_conc,Salt_type,Salt_conc,Stabilizer_type,Stabilizer_conc,Surfactant_type,Surfactant_conc,Excipient_type,Excipient_conc,C_Class,HCI,Viscosity_100,Viscosity_1000,Viscosity_10000,Viscosity_100000,Viscosity_15000000,
163_p3conc_1.4_i0,Adalimumab,mAb_IgG1,3.0,148.0,8.7,0.3,1.4082,27.5,Acetate,5.0,20.0,none,0.0,none,0.0,none,0.0,none,0.0,1.0,1.0,0.91,0.91,0.91,0.91,0.91,
163_p3conc_1.8_i1,Adalimumab,mAb_IgG1,3.0,148.0,8.7,0.3,1.7783,27.5,Acetate,5.0,20.0,none,0.0,none,0.0,none,0.0,none,0.0,1.0,1.0,0.9181948329439368,0.9181948329439368,0.9181948329439368,0.9181948329439368,0.9181948329439368,
163_p3conc_2.0_i2,Adalimumab,mAb_IgG1,3.0,148.0,8.7,0.3,1.9829,27.5,Acetate,5.0,20.0,none,0.0,none,0.0,none,0.0,none,0.0,1.0,1.0,0.9431892338678844,0.9276757851117909,0.9276757851117909,0.9276757851117909,0.91,
163_p3conc_2.8_i3,Adalimumab,mAb_IgG1,3.0,148.0,8.7,0.3,2.7922,27.5,Acetate,5.0,20.0,none,0.0,none,0.0,none,0.0,none,0.0,1.0,1.0,0.9478590221535174,0.9478590221535174,0.9478590221535174,0.9478590221535174,0.91,
163_p3conc_3.2_i4,Adalimumab,mAb_IgG1,3.0,148.0,8.7,0.3,3.1623,27.5,Acetate,5.0,20.0,none,0.0,none,0.0,none,0.0,none,0.0,1.0,1.0,0.9815908315474204,0.9608912203637163,0.9608912203637163,0.9166165455420644,0.9166165455420644,
163_p3conc_3.9_i5,Adalimumab,mAb_IgG1,3.0,148.0,8.7,0.3,3.9319,27.5,Acetate,5.0,20.0,none,0.0,none,0.0,none,0.0,none,0.0,1.0,1.0,0.9864832745750693,0.9864832745750693,0.9864832745750693,0.9101657008033313,0.91,
163_p3conc_5.5_i6,Adalimumab,mAb_IgG1,3.0,148.0,8.7,0.3,5.5367,27.5,Acetate,5.0,20.0,none,0.0,none,0.0,none,0.0,none,0.0,1.0,1.0,1.130915311777599,1.0853901941660935,1.0587467425042865,1.0354310289241537,0.9943890785803297,
163_p3conc_5.6_i7,Adalimumab,mAb_IgG1,3.0,148.0,8.7,0.3,5.6234,27.5,Acetate,5.0,20.0,none,0.0,none,0.0,none,0.0,none,0.0,1.0,1.0,1.129983850477144,1.0517091917637769,0.9849046240802031,0.9516872534127873,0.9481160207363301,
163_p3conc_7.8_i8,Adalimumab,mAb_IgG1,3.0,148.0,8.7,0.3,7.7965,27.5,Acetate,5.0,20.0,none,0.0,none,0.0,none,0.0,none,0.0,1.0,1.0,1.0819732025143587,1.0819732025143587,1.0819732025143587,1.0819732025143587,0.9894877833477232,
163_p3conc_10.0_i9,Adalimumab,mAb_IgG1,3.0,148.0,8.7,0.3,10.0,27.5,Acetate,5.0,20.0,none,0.0,none,0.0,none,0.0,none,0.0,1.0,1.0,1.2596689751704606,1.1251245553249183,1.1004103809697154,1.1004103809697154,0.9799137857705774,
163_p3conc_11.0_i10,Adalimumab,mAb_IgG1,3.0,148.0,8.7,0.3,10.9787,27.5,Acetate,5.0,20.0,none,0.0,none,0.0,none,0.0,none,0.0,1.0,1.0,1.4578170701502189,1.2376171303415902,1.2017293888528382,1.0922827576259548,1.0473959362816696,
163_p3conc_15.5_i11,Adalimumab,mAb_IgG1,3.0,148.0,8.7,0.3,15.4596,27.5,Acetate,5.0,20.0,none,0.0,none,0.0,none,0.0,none,0.0,1.0,1.0,1.3919686830891653,1.3919686830891653,1.3551975035529342,1.2618295757502251,1.1265614485404891,
163_p3conc_17.8_i12,Adalimumab,mAb_IgG1,3.0,148.0,8.7,0.3,17.7828,27.5,Acetate,5.0,20.0,none,0.0,none,0.0,none,0.0,none,0.0,1.0,1.0,1.4864205685902303,1.4864205685902303,1.2832807727018238,1.2832807727018238,1.049449232595609,
163_p3conc_21.8_i13,Adalimumab,mAb_IgG1,3.0,148.0,8.7,0.3,21.7695,27.5,Acetate,5.0,20.0,none,0.0,none,0.0,none,0.0,none,0.0,1.0,1.0,1.6013501795822036,1.4270885315212618,1.4270885315212618,1.3566408297924135,1.092963171035387,
163_p3conc_30.7_i14,Adalimumab,mAb_IgG1,3.0,148.0,8.7,0.3,30.6548,27.5,Acetate,5.0,20.0,none,0.0,none,0.0,none,0.0,none,0.0,1.0,1.0,1.9824232926362224,1.6916290436582229,1.6916290436582229,1.4915268554385612,1.1723083428104153,
163_p3conc_31.6_i15,Adalimumab,mAb_IgG1,3.0,148.0,8.7,0.3,31.6228,27.5,Acetate,5.0,20.0,none,0.0,none,0.0,none,0.0,none,0.0,1.0,1.0,1.9529951572117936,1.7619824654636609,1.6615634599678044,1.4791421164906782,1.125651328326678,
163_p3conc_43.2_i16,Adalimumab,mAb_IgG1,3.0,148.0,8.7,0.3,43.1667,27.5,Acetate,5.0,20.0,none,0.0,none,0.0,none,0.0,none,0.0,1.0,1.0,2.1266278107393295,1.9827258651464306,1.8421391109030507,1.788869808903124,1.1906074414791603,
163_p3conc_56.2_i17,Adalimumab,mAb_IgG1,3.0,148.0,8.7,0.3,56.2341,27.5,Acetate,5.0,20.0,none,0.0,none,0.0,none,0.0,none,0.0,1.0,1.0,2.549212727297681,2.3271224763807368,2.1372809681447467,1.8517052751064405,1.2957228897053583,
163_p3conc_60.8_i18,Adalimumab,mAb_IgG1,3.0,148.0,8.7,0.3,60.7852,27.5,Acetate,5.0,20.0,none,0.0,none,0.0,none,0.0,none,0.0,1.0,1.0,2.695406625286655,2.329880458398187,2.1497942495843256,2.050884062242872,1.2656275131639074,
163_p3conc_85.6_i19,Adalimumab,mAb_IgG1,3.0,148.0,8.7,0.3,85.5949,27.5,Acetate,5.0,20.0,none,0.0,none,0.0,none,0.0,none,0.0,1.0,1.0,3.367014010032553,2.7029245993020408,2.7029245993020408,2.2119623655214107,1.4218905955626997,
163_p3conc_108.6_i20,Adalimumab,mAb_IgG1,3.0,148.0,8.7,0.3,108.581,27.5,Acetate,5.0,20.0,none,0.0,none,0.0,none,0.0,none,0.0,1.0,1.0,3.9682523888356895,3.4569694515188076,3.185015661829048,2.5975791327874105,1.4126262589855507,
163_p3conc_117.9_i21,Adalimumab,mAb_IgG1,3.0,148.0,8.7,0.3,117.8982,27.5,Acetate,5.0,20.0,none,0.0,none,0.0,none,0.0,none,0.0,1.0,1.0,4.871449048329599,3.846761426744648,3.708454675388525,3.0255751059408524,1.6939664989571344,
162_p3conc_120.5_i22,Adalimumab,mAb_IgG1,3.0,148.0,8.7,0.3,120.5308,27.5,Acetate,5.0,20.0,none,0.0,none,0.0,none,0.0,none,0.0,1.0,1.0,4.956296013894383,3.8936010591667376,3.8936010591667376,3.0378130238949184,1.7604128237602743,
162_p3conc_128.0_i23,Adalimumab,mAb_IgG1,3.0,148.0,8.7,0.3,128.015,27.5,Acetate,5.0,20.0,none,0.0,none,0.0,none,0.0,none,0.0,1.0,1.0,5.4863896838209625,4.298629582555677,4.298629582555677,3.4145584754359146,2.0251889388753597,
162_p3conc_148.7_i24,Adalimumab,mAb_IgG1,3.0,148.0,8.7,0.3,148.7435,27.5,Acetate,5.0,20.0,none,0.0,none,0.0,none,0.0,none,0.0,1.0,1.0,7.733216806056391,5.7872523895639105,5.7872523895639105,3.956731760162938,2.690450369771169,
162_p3conc_159.2_i25,Adalimumab,mAb_IgG1,3.0,148.0,8.7,0.3,159.1699,27.5,Acetate,5.0,20.0,none,0.0,none,0.0,none,0.0,none,0.0,1.0,1.0,7.558913196431786,6.528494856260155,6.526686585808994,4.589919622463405,2.5861569830118945,
162_p3conc_169.7_i26,Adalimumab,mAb_IgG1,3.0,148.0,8.7,0.3,169.7259,27.5,Acetate,5.0,20.0,none,0.0,none,0.0,none,0.0,none,0.0,1.0,1.0,9.41337247951562,6.833032782893191,6.833032782893191,4.783488058504065,3.1379761200779135,
162_p3conc_170.3_i27,Adalimumab,mAb_IgG1,3.0,148.0,8.7,0.3,170.3268,27.5,Acetate,5.0,20.0,none,0.0,none,0.0,none,0.0,none,0.0,1.0,1.0,8.747957853715802,6.979397569361616,6.979397569361616,4.824092335547157,2.8953938834038118,
162_p3conc_182.3_i28,Adalimumab,mAb_IgG1,3.0,148.0,8.7,0.3,182.2661,27.5,Acetate,5.0,20.0,none,0.0,none,0.0,none,0.0,none,0.0,1.0,1.0,9.81532331919661,8.097615303348203,8.097615303348203,5.511166368597321,3.2598902945026187,
162_p3conc_195.0_i29,Adalimumab,mAb_IgG1,3.0,148.0,8.7,0.3,195.0424,27.5,Acetate,5.0,20.0,none,0.0,none,0.0,none,0.0,none,0.0,1.0,1.0,11.741156867170028,9.307886665226494,9.307886665226494,5.967991789490803,3.433368466622705,
162_p3conc_208.7_i30,Adalimumab,mAb_IgG1,3.0,148.0,8.7,0.3,208.7142,27.5,Acetate,5.0,20.0,none,0.0,none,0.0,none,0.0,none,0.0,1.0,1.0,11.730073541733706,9.82703552162793,9.82703552162793,6.54392468593885,4.252350494440122,
162_p3conc_223.3_i31,Adalimumab,mAb_IgG1,3.0,148.0,8.7,0.3,223.3444,27.5,Acetate,5.0,20.0,none,0.0,none,0.0,none,0.0,none,0.0,1.0,1.0,13.67345936653694,10.324465583007074,10.324465583007074,6.361013565160394,4.453005443734553,
167_p3conc_1.4_i0,Adalimumab,mAb_IgG1,3.0,148.0,8.7,0.3,1.4096,27.5,Histidine,6.0,15.0,none,0.0,none,0.0,none,0.0,none,0.0,1.0,1.0,0.9773290386360063,0.91,0.91,0.91,0.91,
167_p3conc_1.8_i1,Adalimumab,mAb_IgG1,3.0,148.0,8.7,0.3,1.7783,27.5,Histidine,6.0,15.0,none,0.0,none,0.0,none,0.0,none,0.0,1.0,1.0,0.9551156574845727,0.91,0.91,0.91,0.91,
167_p3conc_2.0_i2,Adalimumab,mAb_IgG1,3.0,148.0,8.7,0.3,1.987,27.5,Histidine,6.0,15.0,none,0.0,none,0.0,none,0.0,none,0.0,1.0,1.0,1.0005327136033204,0.9664676323819856,0.9363985008020586,0.91,0.91,
167_p3conc_2.8_i3,Adalimumab,mAb_IgG1,3.0,148.0,8.7,0.3,2.8009,27.5,Histidine,6.0,15.0,none,0.0,none,0.0,none,0.0,none,0.0,1.0,1.0,0.9941983193211777,0.91,0.91,0.91,0.91,
