ID,Protein_type,Protein_class_type,kP,MW,PI_mean,PI_range,Protein_conc,Temperature,Buffer_type,Buffer_pH,Buffer_conc,Salt_type,Salt_conc,Stabilizer_type,Stabilizer_conc,Surfactant_type,Surfactant_conc,Excipient_type,Excipient_conc,C_Class,HCI,Viscosity_100,Viscosity_1000,Viscosity_10000,Viscosity_100000,Viscosity_15000000,VH_pI,VL_pI,Fv_pI,VH_Charge_pH5_8,VL_Charge_pH5_8,Fv_Charge_pH5_8,Whole_Charge
10001,AB-001,mAb_IgG1,3,144,7.098,0.3,150,25,Histidine,5.8,10,none,0,Sucrose,0.146,none,0,none,0,1,1,,440,,,,6.845,4.504,5.088,0.869,-3.628,-2.695,20.285
10002,R1-002,mAb_IgG1,3,144,7.371,0.3,150,25,Histidine,5.8,10,none,0,Sucrose,0.146,none,0,none,0,1,1,,288,,,,8.028,4.504,5.269,1.826,-3.628,-1.738,22.199
10003,R1-003,mAb_IgG1,3,144,7.371,0.3,150,25,Histidine,5.8,10,none,0,Sucrose,0.146,none,0,none,0,1,1,,523,,,,8.019,4.504,5.3,1.869,-3.628,-1.695,22.285
10004,R1-004,mAb_IgG1,3,144,7.372,0.3,150,25,Histidine,5.8,10,none,0,Sucrose,0.146,none,0,none,0,1,1,,310,,,,8.028,4.504,5.3,1.869,-3.628,-1.695,22.285
10005,R1-005,mAb_IgG1,3,144,7.372,0.3,150,25,Histidine,5.8,10,none,0,Sucrose,0.146,none,0,none,0,1,1,,190,,,,8.028,4.504,5.287,1.852,-3.628,-1.713,22.25
10006,R1-006,mAb_IgG1,3,144,7.372,0.3,150,25,Histidine,5.8,10,none,0,Sucrose,0.146,none,0,none,0,1,1,,314,,,,8.028,4.504,5.3,1.869,-3.628,-1.695,22.285
10007,R1-007,mAb_IgG1,3,144,7.647,0.3,150,25,Histidine,5.8,10,none,0,Sucrose,0.146,none,0,none,0,1,1,,233,,,,8.603,4.504,5.549,2.826,-3.628,-0.738,24.199
10008,R1-008,mAb_IgG1,3,144,7.371,0.3,150,25,Histidine,5.8,10,none,0,Sucrose,0.146,none,0,none,0,1,1,,567,,,,6.845,4.638,5.269,0.869,-2.671,-1.738,22.199
10009,R1-009,mAb_IgG1,3,144,7.371,0.3,150,25,Histidine,5.8,10,none,0,Sucrose,0.146,none,0,none,0,1,1,,430,,,,6.845,4.735,5.3,0.869,-2.628,-1.695,22.285
10010,R1-010,mAb_IgG1,3,144,7.37,0.3,150,25,Histidine,5.8,10,none,0,Sucrose,0.146,none,0,none,0,1,1,,99,,,,6.845,4.735,5.3,0.869,-2.628,-1.695,22.285
10011,R1-011,mAb_IgG1,3,144,7.371,0.3,150,25,Histidine,5.8,10,none,0,Sucrose,0.146,none,0,none,0,1,1,,519,,,,6.845,4.688,5.287,0.869,-2.645,-1.713,22.25
10012,R1-012,mAb_IgG1,3,144,7.879,0.3,150,25,Histidine,5.8,10,none,0,Sucrose,0.146,none,0,none,0,1,1,,471,,,,8.603,4.638,5.884,2.826,-2.671,0.219,26.114
10013,R1-013,mAb_IgG1,3,144,7.648,0.3,150,25,Histidine,5.8,10,none,0,Sucrose,0.146,none,0,none,0,1,1,,414,,,,8.028,4.735,5.549,1.826,-2.628,-0.738,24.199
10014,R1-014,mAb_IgG1,3,144,7.879,0.3,150,25,Histidine,5.8,10,none,0,Sucrose,0.146,none,0,none,0,1,1,,415,,,,8.603,4.735,5.898,2.826,-2.628,0.262,26.199
10015,R1-015,mAb_IgG1,3,144,7.879,0.3,150,25,Histidine,5.8,10,none,0,Sucrose,0.146,none,0,none,0,1,1,,452,,,,8.603,4.688,5.892,2.826,-2.645,0.244,26.164
10016,R1-016,mAb_IgG1,3,144,7.877,0.3,150,25,Histidine,5.8,10,none,0,Sucrose,0.146,none,0,none,0,1,1,,73,,,,8.603,4.735,5.898,2.826,-2.628,0.262,26.199
10017,R1-017,mAb_IgG1,3,144,7.647,0.3,150,25,Histidine,5.8,10,none,0,Sucrose,0.146,none,0,none,0,1,1,,1534,,,,8.019,4.735,5.571,1.869,-2.628,-0.695,24.285
10018,R1-018,mAb_IgG1,3,144,7.649,0.3,150,25,Histidine,5.8,10,none,0,Sucrose,0.146,none,0,none,0,1,1,,416,,,,8.028,4.735,5.571,1.869,-2.628,-0.695,24.285
10019,R2-001,mAb_IgG1,3,144,8.315,0.3,150,25,Histidine,5.8,10,none,0,Sucrose,0.146,none,0,none,0,1,1,,37,,,,8.603,5.996,7.865,2.826,0.329,3.219,32.113
10020,R2-004,mAb_IgG1,3,144,8.318,0.3,150,25,Histidine,5.8,10,none,0,Sucrose,0.146,none,0,none,0,1,1,,54,,,,8.603,6.222,7.877,2.826,0.932,3.821,33.318
10021,R2-005,mAb_IgG1,3,144,8.417,0.3,150,25,Histidine,5.8,10,none,0,Sucrose,0.146,none,0,none,0,1,1,,37,,,,8.603,6.668,8.336,2.826,1.329,4.219,34.114
10022,R2-006,mAb_IgG1,3,144,8.412,0.3,150,25,Histidine,5.8,10,none,0,Sucrose,0.146,none,0,none,0,1,1,,13,,,,8.603,6.668,8.321,2.826,1.329,4.219,34.113
10023,R2-007,mAb_IgG1,3,144,8.412,0.3,150,25,Histidine,5.8,10,none,0,Sucrose,0.146,none,0,none,0,1,1,,21,,,,8.603,6.668,8.321,2.826,1.329,4.219,34.113
10024,R2-008,mAb_IgG1,3,144,8.412,0.3,150,25,Histidine,5.8,10,none,0,Sucrose,0.146,none,0,none,0,1,1,,23,,,,8.603,6.668,8.321,2.826,1.329,4.219,34.113
10025,R2-009,mAb_IgG1,3,144,8.412,0.3,150,25,Histidine,5.8,10,none,0,Sucrose,0.146,none,0,none,0,1,1,,19,,,,8.603,6.668,8.321,2.826,1.329,4.219,34.113
10026,R2-010,mAb_IgG1,3,144,8.318,0.3,150,25,Histidine,5.8,10,none,0,Sucrose,0.146,none,0,none,0,1,1,,35,,,,8.62,5.996,7.877,3.428,0.329,3.821,33.318
10027,R2-011,mAb_IgG1,3,144,8.412,0.3,150,25,Histidine,5.8,10,none,0,Sucrose,0.146,none,0,none,0,1,1,,26,,,,8.918,5.996,8.321,3.826,0.329,4.219,34.113
10028,R2-012,mAb_IgG1,3,144,8.497,0.3,150,25,Histidine,5.8,10,none,0,Sucrose,0.146,none,0,none,0,1,1,,39,,,,9.15,5.996,8.605,4.809,0.329,5.202,36.078
10029,R2-013,mAb_IgG1,3,144,8.414,0.3,150,25,Histidine,5.8,10,none,0,Sucrose,0.146,none,0,none,0,1,1,,26,,,,8.939,5.996,8.328,3.809,0.329,4.202,34.079
10030,R2-014,mAb_IgG1,3,144,8.414,0.3,150,25,Histidine,5.8,10,none,0,Sucrose,0.146,none,0,none,0,1,1,,51,,,,8.939,5.996,8.328,3.809,0.329,4.202,34.079
10031,R2-015,mAb_IgG1,3,144,8.414,0.3,150,25,Histidine,5.8,10,none,0,Sucrose,0.146,none,0,none,0,1,1,,83,,,,8.939,5.996,8.328,3.809,0.329,4.202,34.079
10032,R2-016,mAb_IgG1,3,144,8.414,0.3,150,25,Histidine,5.8,10,none,0,Sucrose,0.146,none,0,none,0,1,1,,67,,,,8.939,5.996,8.328,3.809,0.329,4.202,34.079
10033,R2-017,mAb_IgG1,3,144,8.412,0.3,150,25,Histidine,5.8,10,none,0,Sucrose,0.146,none,0,none,0,1,1,,84,,,,8.918,5.996,8.321,3.809,0.329,4.202,34.078
10034,R2-018,mAb_IgG1,3,144,8.414,0.3,150,25,Histidine,5.8,10,none,0,Sucrose,0.146,none,0,none,0,1,1,,20,,,,8.603,6.666,8.328,2.826,1.312,4.202,34.079
10035,R2-019,mAb_IgG1,3,144,8.414,0.3,150,25,Histidine,5.8,10,none,0,Sucrose,0.146,none,0,none,0,1,1,,60,,,,8.603,6.666,8.328,2.826,1.312,4.202,34.079
10036,R2-020,mAb_IgG1,3,144,8.414,0.3,150,25,Histidine,5.8,10,none,0,Sucrose,0.146,none,0,none,0,1,1,,10,,,,8.603,6.666,8.328,2.826,1.312,4.202,34.079
10037,R2-021,mAb_IgG1,3,144,8.497,0.3,150,25,Histidine,5.8,10,none,0,Sucrose,0.146,none,0,none,0,1,1,,119,,,,8.603,7.748,8.605,2.826,2.312,5.202,36.078
10038,R2-022,mAb_IgG1,3,144,8.414,0.3,150,25,Histidine,5.8,10,none,0,Sucrose,0.146,none,0,none,0,1,1,,135,,,,8.603,6.666,8.328,2.826,1.312,4.202,34.079
10039,TGN1412,mAb_IgG4,3.5,145.6,7.666146,0.3,150,25,Histidine,6,10,none,0,none,0,none,0,none,0,1.3,1.1,,16.42,,,,7.883394,8.60479,8.279909,2.121678,3.045766,5.167444,18.951556
10040,Basiliximab,mAb_IgG1,3,144,8.569233,0.3,150,25,Histidine,6,10,none,0,none,0,none,0,none,0,1,1,,25.05,,,,8.556152,9.201952,8.923767,3.100286,4.589906,7.690192,33.808136
10041,Natalizumab,mAb_IgG4,3.5,146,7.66394,0.3,150,25,Histidine,6,10,none,0,none,0,none,0,none,0,1.3,1.1,,13.67,,,,8.526058,7.953665,8.309585,2.661198,1.579566,4.240764,17.098197
10042,Tremelimumab,mAb_IgG2,3,146.4,8.035404,0.3,150,25,Histidine,6,10,none,0,none,0,none,0,none,0,1,1,,8.8,,,,8.892107,7.94348,8.585639,3.606573,1.079982,4.686556,20.90834
10043,Ipilimumab,mAb_IgG1,3,145.4,8.432039,0.3,150,25,Histidine,6,10,none,0,none,0,none,0,none,0,1,1,,8.6,,,,8.981004,8.057034,8.657167,3.595879,1.151413,4.747291,27.922334
10044,Atezolizumab,mAb_IgG1,3,144.6,8.08362,0.3,150,25,Histidine,6,10,none,0,none,0,none,0,none,0,1,1,,11.56,,,,6.994155,7.953632,7.5101,1.123071,1.568471,2.691543,23.84327
10045,Ganitumab,mAb_IgG1,3,145.7,8.213927,0.3,150,25,Histidine,6,10,none,0,none,0,none,0,none,0,1,1,,10.1,,,,9.037091,6.070914,7.976078,3.584986,0.111982,3.696968,25.821489
10046,Vesencumab,mAb_IgG1,3,145.2,8.422422,0.3,150,25,Histidine,6,10,none,0,none,0,none,0,none,0,1,1,,23.57,,,,8.029181,8.981537,8.628341,1.162209,3.068886,4.231094,26.922373
10047,Dupilumab,mAb_IgG4,3.5,147,6.8,0.3,150,25,Histidine,5.0,10,none,0,none,0,none,0,none,0,1.3,1.1,,,,,,8.636,5.175,7.453,3.737,0.415,4.151,0.000
