ID,Protein_type,Protein_class_type,kP,MW,PI_mean,PI_range,Protein_conc,Temperature,Buffer_type,Buffer_pH,Buffer_conc,Salt_type,Salt_conc,Stabilizer_type,Stabilizer_conc,Surfactant_type,Surfactant_conc,Excipient_type,Excipient_conc,C_Class,HCI,Viscosity_100,Viscosity_1000,Viscosity_10000,Viscosity_100000,Viscosity_15000000,
13.0,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,142.0,27.5,PBS,7.4,10.0,NaCl,140.0,Sucrose,1.0,tween-20,0.1,none,0.0,0.9,0.9,16.7,16.7,16.7,14.23,13.0,
14.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.1,none,0.0,none,0.0,0.0,0.0,1.15,1.15,1.15,1.15,1.15,
15.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.2,none,0.0,none,0.0,0.0,0.0,1.25,1.25,1.25,1.25,1.25,
16.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.4,none,0.0,none,0.0,0.0,0.0,1.5,1.5,1.5,1.5,1.5,
17.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.5,none,0.0,none,0.0,0.0,0.0,1.65,1.65,1.65,1.65,1.65,
18.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.75,none,0.0,none,0.0,0.0,0.0,2.25,2.25,2.25,2.25,2.25,
19.0,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,260.0,27.5,PBS,7.4,10.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.9,0.9,22.12,19.76,17.88,12.03,6.5,
20.0,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,240.0,27.5,PBS,7.4,10.0,NaCl,140.0,Sucrose,1.0,none,0.0,none,0.0,0.9,0.9,64.36,47.35,31.89,24.71,18.0,
21.0,BSA,Other,2.0,66.0,4.7,0.3,185.0,27.5,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.41,none,0.0,none,0.0,0.85,0.9,8.25,8.25,7.83,6.29,3.58,
22.0,BSA,Other,2.0,66.0,4.7,0.3,83.3,27.5,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.19,none,0.0,none,0.0,0.85,0.9,2.19,2.19,2.19,2.0,1.56,
23.0,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,38.3,27.5,PBS,7.4,10.0,NaCl,140.0,none,0.0,tween-20,0.21,none,0.0,0.9,0.9,1.32,1.32,1.32,1.21,1.15,
24.0,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,124.0,27.5,PBS,7.4,10.0,NaCl,140.0,none,0.0,tween-20,0.09,none,0.0,0.9,0.9,2.98,2.98,2.98,2.72,2.6,
25.0,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,189.0,27.5,PBS,7.4,10.0,NaCl,140.0,none,0.0,tween-20,0.05,none,0.0,0.9,0.9,8.3,8.3,8.3,6.16,4.17,
26.0,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,95.0,27.5,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.46,none,0.0,none,0.0,0.9,0.9,4.37,3.85,3.85,3.15,2.24,
27.0,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,164.0,27.5,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.3,tween-20,0.1,none,0.0,0.9,0.9,7.32,6.46,6.24,4.82,4.0,
28.0,BSA,Other,2.0,66.0,4.7,0.3,177.0,27.5,PBS,7.4,10.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.85,0.9,4.65,4.22,4.22,3.66,3.0,
29.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,none,0.0,tween-20,0.1,none,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
30.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,none,0.0,tween-20,0.05,none,0.0,0.0,0.0,0.97,0.97,0.97,0.97,0.97,
31.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.1,tween-20,0.1,none,0.0,0.0,0.0,1.2,1.2,1.2,1.2,1.2,
32.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.2,tween-20,0.1,none,0.0,0.0,0.0,1.3,1.3,1.3,1.3,1.3,
33.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.4,tween-20,0.1,none,0.0,0.0,0.0,1.55,1.55,1.55,1.55,1.55,
34.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.75,tween-20,0.1,none,0.0,0.0,0.0,2.32,2.32,2.32,2.32,2.32,
35.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.1,tween-20,0.05,none,0.0,0.0,0.0,1.17,1.17,1.17,1.17,1.17,
36.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.2,tween-20,0.05,none,0.0,0.0,0.0,1.27,1.27,1.27,1.27,1.27,
37.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.4,tween-20,0.05,none,0.0,0.0,0.0,1.52,1.52,1.52,1.52,1.52,
38.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.75,tween-20,0.05,none,0.0,0.0,0.0,2.29,2.29,2.29,2.29,2.29,
39.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,none,0.0,tween-80,0.1,none,0.0,0.0,0.0,1.07,1.07,1.07,1.07,1.07,
40.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,none,0.0,tween-80,0.05,none,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
41.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.1,tween-80,0.1,none,0.0,0.0,0.0,1.27,1.27,1.27,1.27,1.27,
42.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.2,tween-80,0.1,none,0.0,0.0,0.0,1.38,1.38,1.38,1.38,1.38,
43.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.4,tween-80,0.1,none,0.0,0.0,0.0,1.64,1.64,1.64,1.64,1.64,
44.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.75,tween-80,0.1,none,0.0,0.0,0.0,2.42,2.42,2.42,2.42,2.42,
45.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.1,tween-80,0.05,none,0.0,0.0,0.0,1.2,1.2,1.2,1.2,1.2,
46.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.2,tween-80,0.05,none,0.0,0.0,0.0,1.3,1.3,1.3,1.3,1.3,
47.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.4,tween-80,0.05,none,0.0,0.0,0.0,1.55,1.55,1.55,1.55,1.55,
48.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.75,tween-80,0.05,none,0.0,0.0,0.0,2.32,2.32,2.32,2.32,2.32,
49.0,BGG,Polyclonal,3.0,150.0,6.6,1.0,85.0,27.5,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.22,none,0.0,none,0.0,0.9,0.9,3.45,3.45,3.45,3.15,2.95,
50.0,BGG,Polyclonal,3.0,150.0,6.6,1.0,43.6,27.5,PBS,7.4,10.0,NaCl,140.0,none,0.0,tween-80,0.15,none,0.0,0.9,0.9,1.55,1.55,1.55,1.42,1.3,
51.0,BGG,Polyclonal,3.0,150.0,6.6,1.0,64.0,27.5,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.704,tween-80,0.037,none,0.0,0.9,0.9,3.62,3.62,3.62,3.31,3.15,
52.0,BGG,Polyclonal,3.0,150.0,6.6,1.0,85.7,27.5,PBS,7.4,10.0,NaCl,140.0,none,0.0,tween-20,0.0624,none,0.0,0.9,0.9,2.74,2.74,2.74,2.42,2.0,
53.0,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,86.4,27.5,PBS,7.4,10.0,NaCl,140.0,none,0.0,tween-80,0.003,none,0.0,0.9,0.9,2.53,2.53,2.53,2.1,1.75,
54.0,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,141.0,27.5,PBS,7.4,10.0,NaCl,140.0,none,0.0,tween-80,0.1067,none,0.0,0.9,0.9,5.69,3.51,3.46,3.1,2.75,
55.0,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,75.0,27.5,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.28,tween-20,0.228,none,0.0,0.9,0.9,2.88,2.51,2.3,2.0,1.73,
56.0,BSA,Other,2.0,66.0,4.7,0.3,132.0,27.5,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.46,tween-20,0.123,none,0.0,0.85,0.9,3.45,3.45,3.45,3.15,3.05,
57.0,BSA,Other,2.0,66.0,4.7,0.3,83.0,27.5,PBS,7.4,10.0,NaCl,140.0,none,0.0,tween-20,0.218,none,0.0,0.85,0.9,2.24,2.22,1.84,1.63,1.47,
58.0,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,51.7,27.5,Histidine,6.0,100.0,NaCl,140.0,Sucrose,1.01,none,0.0,none,0.0,0.9,0.9,6.33,6.33,6.33,5.78,5.5,
59.0,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,118.7,27.5,Histidine,6.0,100.0,NaCl,140.0,Sucrose,0.53,none,0.0,none,0.0,0.9,0.9,6.33,5.18,5.06,4.41,3.88,
60.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,Trehalose,0.5,none,0.0,none,0.0,0.0,0.0,1.38,1.38,1.38,1.38,1.38,
61.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140.0,Trehalose,1.0,none,0.0,none,0.0,0.0,0.0,3.05,3.05,3.05,3.05,3.05,
62.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,Histidine,6.0,100.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.0,0.0,0.98,0.98,0.98,0.98,0.98,
63.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,Histidine,6.0,100.0,NaCl,140.0,Sucrose,1.0,none,0.0,none,0.0,0.0,0.0,3.3,3.3,3.3,3.3,3.3,
64.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,Histidine,6.0,100.0,NaCl,140.0,none,0.0,tween-20,0.1,none,0.0,0.0,0.0,1.04,1.04,1.04,1.04,1.04,
65.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,Histidine,6.0,100.0,NaCl,140.0,none,0.0,tween-20,0.05,none,0.0,0.0,0.0,1.01,1.01,1.01,1.01,1.01,
66.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,Histidine,6.0,100.0,NaCl,140.0,none,0.0,tween-80,0.1,none,0.0,0.0,0.0,1.11,1.11,1.11,1.11,1.11,
67.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,Histidine,6.0,100.0,NaCl,140.0,none,0.0,tween-80,0.05,none,0.0,0.0,0.0,1.04,1.04,1.04,1.04,1.04,
68.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,Histidine,6.0,100.0,NaCl,140.0,Sucrose,0.1,tween-20,0.1,none,0.0,0.0,0.0,1.24,1.24,1.24,1.24,1.24,
69.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,Histidine,6.0,100.0,NaCl,140.0,Sucrose,0.2,tween-20,0.1,none,0.0,0.0,0.0,1.33,1.33,1.33,1.33,1.33,
70.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,Histidine,6.0,100.0,NaCl,140.0,Sucrose,0.4,tween-20,0.1,none,0.0,0.0,0.0,1.6,1.6,1.6,1.6,1.6,
71.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,Histidine,6.0,100.0,NaCl,140.0,Sucrose,0.75,tween-20,0.1,none,0.0,0.0,0.0,2.35,2.35,2.35,2.35,2.35,
72.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,Histidine,6.0,100.0,NaCl,140.0,Sucrose,0.1,tween-20,0.05,none,0.0,0.0,0.0,1.21,1.21,1.21,1.21,1.21,
73.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,Histidine,6.0,100.0,NaCl,140.0,Sucrose,0.2,tween-20,0.05,none,0.0,0.0,0.0,1.31,1.31,1.31,1.31,1.31,
74.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,Histidine,6.0,100.0,NaCl,140.0,Sucrose,0.4,tween-20,0.05,none,0.0,0.0,0.0,1.56,1.56,1.56,1.56,1.56,
75.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,Histidine,6.0,100.0,NaCl,140.0,Sucrose,0.75,tween-20,0.05,none,0.0,0.0,0.0,2.33,2.33,2.33,2.33,2.33,
76.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,Histidine,6.0,100.0,NaCl,140.0,Trehalose,0.5,none,0.0,none,0.0,0.0,0.0,1.42,1.42,1.42,1.42,1.42,
77.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,Histidine,6.0,100.0,NaCl,140.0,Trehalose,1.0,none,0.0,none,0.0,0.0,0.0,3.1,3.1,3.1,3.1,3.1,
78.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,Histidine,6.0,100.0,NaCl,140.0,Trehalose,0.5,tween-20,0.1,none,0.0,0.0,0.0,1.47,1.47,1.47,1.47,1.47,
79.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,Histidine,6.0,100.0,NaCl,140.0,Trehalose,1.0,tween-20,0.1,none,0.0,0.0,0.0,3.15,3.15,3.15,3.15,3.15,
80.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,Histidine,6.0,100.0,NaCl,140.0,Trehalose,0.5,tween-80,0.1,none,0.0,0.0,0.0,1.54,1.54,1.54,1.54,1.54,
81.0,none,,0.0,0.0,0.0,0.0,0.0,25.0,Histidine,6.0,100.0,NaCl,140.0,Trehalose,1.0,tween-80,0.1,none,0.0,0.0,0.0,3.22,3.22,3.22,3.22,3.22,
82.0,BSA,Other,2.0,66.0,4.7,0.3,145.0,27.5,PBS,7.4,10.0,NaCl,140.0,Trehalose,1.0,none,0.0,none,0.0,0.85,0.9,9.97,9.97,9.97,9.97,10.35,
83.0,BGG,Polyclonal,3.0,150.0,6.6,1.0,163.0,27.5,PBS,7.4,10.0,NaCl,140.0,Trehalose,1.0,none,0.0,none,0.0,0.9,0.9,16.93,16.93,14.01,11.65,9.5,
84.0,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,166.0,27.5,PBS,7.4,10.0,NaCl,140.0,Trehalose,1.0,none,0.0,none,0.0,0.9,0.9,17.81,17.81,17.81,15.6,9.3,
85.0,BSA,Other,2.0,66.0,4.7,0.3,65.0,27.5,PBS,7.4,10.0,NaCl,140.0,Trehalose,1.0,none,0.0,none,0.0,0.85,0.9,4.95,4.95,4.95,4.95,4.3,
86.0,BGG,Polyclonal,3.0,150.0,6.6,1.0,77.0,27.5,PBS,7.4,10.0,NaCl,140.0,Trehalose,1.0,none,0.0,none,0.0,0.9,0.9,5.75,5.75,5.75,5.75,5.7,
87.0,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,72.0,27.5,PBS,7.4,10.0,NaCl,140.0,Trehalose,1.0,none,0.0,none,0.0,0.9,0.9,5.87,5.06,5.06,5.06,4.4,
88.0,BGG,Polyclonal,3.0,150.0,6.6,1.0,66.0,27.5,PBS,7.4,10.0,NaCl,140.0,Trehalose,0.47,none,0.0,none,0.0,0.9,0.9,2.42,2.42,2.42,2.42,2.4,
89.0,BSA,Other,2.0,66.0,4.7,0.3,67.0,27.5,PBS,7.4,10.0,NaCl,140.0,Trehalose,0.466,none,0.0,none,0.0,0.85,0.9,2.76,2.65,2.42,2.42,2.0,
90.0,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,68.0,27.5,PBS,7.4,10.0,NaCl,140.0,Trehalose,0.447,none,0.0,none,0.0,0.9,0.9,3.45,2.88,2.71,2.71,2.7,
91.0,BGG,Polyclonal,3.0,150.0,6.6,1.0,152.0,27.5,Histidine,6.0,100.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.9,0.9,4.5,4.5,4.5,4.0,2.7,
92.0,BGG,Polyclonal,3.0,150.0,6.6,1.0,87.0,27.5,Histidine,6.0,100.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.9,0.9,2.88,2.88,2.88,2.53,1.8,
93.0,BGG,Polyclonal,3.0,150.0,6.6,1.0,66.0,27.5,Histidine,6.0,100.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.9,0.9,1.92,1.92,1.92,1.92,1.9,
94.0,BGG,Polyclonal,3.0,150.0,6.6,1.0,57.0,27.5,Histidine,6.0,100.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.9,0.9,1.61,1.61,1.61,1.61,1.6,
95.0,BGG,Polyclonal,3.0,150.0,6.6,1.0,165.0,27.5,Histidine,6.0,100.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.9,0.9,7.52,6.78,6.45,5.42,4.25,
96.0,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,144.0,27.5,Histidine,6.0,100.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.9,0.9,6.11,5.77,5.77,5.09,3.7,
97.0,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,94.0,27.5,Histidine,6.0,100.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.9,0.9,2.86,2.86,2.86,2.6,1.68,
98.0,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,66.0,27.5,Histidine,6.0,100.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.9,0.9,1.61,1.61,1.61,1.61,1.6,
99.0,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,45.0,27.5,Histidine,6.0,100.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.9,0.9,1.32,1.32,1.32,1.32,1.3,
100.0,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,165.0,27.5,Histidine,6.0,100.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.9,0.9,6.88,6.88,6.88,6.17,4.18,
101.0,BGG,Polyclonal,3.0,150.0,6.6,1.0,95.85,27.5,Histidine,6.0,100.0,NaCl,140.0,none,0.0,tween-20,0.1,none,0.0,0.9,0.9,4.36,4.36,4.04,3.47,2.8,
102.0,BGG,Polyclonal,3.0,150.0,6.6,1.0,150.8,27.5,Histidine,6.0,100.0,NaCl,140.0,none,0.0,tween-80,0.25,none,0.0,0.9,0.9,5.96,6.07,6.18,5.7,3.85,
103.0,BGG,Polyclonal,3.0,150.0,6.6,1.0,44.0,27.5,Histidine,6.0,100.0,NaCl,140.0,Sucrose,0.25,tween-20,0.15,none,0.0,0.9,0.9,2.02,2.02,2.02,2.02,2.0,
104.0,BGG,Polyclonal,3.0,150.0,6.6,1.0,71.5,27.5,Histidine,6.0,100.0,NaCl,140.0,Sucrose,0.75,tween-80,0.2,none,0.0,0.9,0.9,5.23,5.23,5.23,4.6,4.18,
105.0,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,135.0,27.5,Histidine,6.0,100.0,NaCl,140.0,none,0.0,tween-20,0.2,none,0.0,0.9,0.9,3.59,3.59,3.59,3.19,2.96,
106.0,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,174.0,27.5,Histidine,6.0,100.0,NaCl,140.0,none,0.0,tween-80,0.1,none,0.0,0.9,0.9,6.35,6.35,6.35,5.1,4.82,
107.0,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,89.0,27.5,Histidine,6.0,100.0,NaCl,140.0,Sucrose,0.5,tween-20,0.05,none,0.0,0.9,0.9,3.94,3.97,3.99,4.0,3.64,
108.0,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,63.0,27.5,Histidine,6.0,100.0,NaCl,140.0,Sucrose,1.0,tween-80,0.15,none,0.0,0.9,0.9,6.24,6.24,6.24,6.24,5.43,
109.0,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,202.0,27.5,Histidine,6.0,100.0,NaCl,140.0,none,0.0,tween-20,0.02,none,0.0,0.9,0.9,11.14,10.9,10.9,7.55,5.04,
110.0,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,202.0,27.5,Histidine,6.0,100.0,NaCl,140.0,none,0.0,tween-80,0.02,none,0.0,0.9,0.9,10.33,9.11,9.11,6.93,6.33,
111.0,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,211.0,27.5,PBS,7.4,10.0,NaCl,140.0,none,0.0,tween-20,0.02,none,0.0,0.9,0.9,11.97,11.17,9.87,6.92,6.0,
112.0,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,211.0,27.5,PBS,7.4,10.0,NaCl,140.0,none,0.0,tween-80,0.02,none,0.0,0.9,0.9,11.08,11.08,11.08,6.75,6.0,
113.0,BSA,Other,2.0,66.0,4.7,0.3,98.0,27.5,Histidine,6.0,100.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.85,0.9,1.43,1.43,1.43,1.43,1.4,
114.0,BSA,Other,2.0,66.0,4.7,0.3,127.0,27.5,Histidine,6.0,100.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.85,0.9,2.73,2.28,2.28,2.19,1.92,
115.0,BSA,Other,2.0,66.0,4.7,0.3,194.0,27.5,Histidine,6.0,100.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.85,0.9,3.43,3.43,3.43,3.14,2.5,
116.0,BSA,Other,2.0,66.0,4.7,0.3,266.0,27.5,Histidine,6.0,100.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.85,0.9,10.03,6.49,6.49,6.0,5.5,
117.0,BSA,Other,2.0,66.0,4.7,0.3,72.0,27.5,PBS,7.4,10.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.85,0.9,1.75,1.68,1.61,1.5,1.36,
118.0,BSA,Other,2.0,66.0,4.7,0.3,131.0,27.5,PBS,7.4,10.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.85,0.9,3.35,2.72,2.26,1.99,1.7,
119.0,BSA,Other,2.0,66.0,4.7,0.3,183.0,27.5,PBS,7.4,10.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.85,0.9,3.42,3.23,2.93,2.51,2.0,
120.0,BSA,Other,2.0,66.0,4.7,0.3,265.0,27.5,PBS,7.4,10.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.85,0.9,5.6,5.6,5.45,4.64,4.4,
121.0,BSA,Other,2.0,66.0,4.7,0.3,193.0,27.5,Acetate,6.7,20.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.85,0.9,4.77,4.77,4.77,4.14,3.35,
122.0,BSA,Other,2.0,66.0,4.7,0.3,66.0,27.5,Acetate,6.0,20.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.85,0.9,1.47,1.47,1.47,1.47,1.47,
123.0,BSA,Other,2.0,66.0,4.7,0.3,110.0,27.5,Acetate,6.5,20.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.85,0.9,2.25,2.25,2.25,2.11,1.25,
124.0,BSA,Other,2.0,66.0,4.7,0.3,132.0,27.5,Acetate,6.6,20.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.85,0.9,2.71,2.71,2.71,2.71,2.4,
125.0,poly-hIgG,Polyclonal,3.0,150.0,7.6,1.0,213.0,27.5,Acetate,5.0,20.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.9,0.9,11.77,10.88,9.61,5.7,4.35,
