ID,Protein_type,Protein_class_type,kP,MW,PI_mean,PI_range,Protein_conc,Temperature,Buffer_type,Buffer_pH,Buffer_conc,Salt_type,Salt_conc,Stabilizer_type,Stabilizer_conc,Surfactant_type,Surfactant_conc,Excipient_type,Excipient_conc,C_Class,HCI,Viscosity_100,Viscosity_1000,Viscosity_10000,Viscosity_100000,Viscosity_15000000
486,Nivolumab,mAb_IgG4,3.5,146,8.8,0.3,335,25.21,Histidine,6,15,none,0,none,0,none,0,none,0,1.3,1.1,108.62763247668865,110.48915866313887,113.44864108990167,112.93919802120153,28.598067758622932
487,Nivolumab,mAb_IgG4,3.5,146,8.8,0.3,168,25.25,Histidine,6,15,none,0,none,0,none,0,none,0,1.3,1.1,4.52,4.623166461405889,4.520119365178778,4.014935817598745,1.86
488,Nivolumab,mAb_IgG4,3.5,146,8.8,0.3,55,25.64,Histidine,6,15,none,0,none,0,none,0,none,0,1.3,1.1,1.72,1.72,1.4334819052941308,1.3096125718659462,1.13
489,Nivolumab,mAb_IgG4,3.5,146,8.8,0.3,122,24.47,Histidine,6,15,none,0,none,0,none,0,none,0,1.3,1.1,2.99,3.0040753434604546,2.7992976142436836,3.0481759903734824,1.8
490,Nivolumab,mAb_IgG4,3.5,146,8.8,0.3,26,26,Histidine,6,15,none,0,none,0,none,0,none,0,1.3,1.1,1.04,1.04,1.0155001997063864,1.0116806923245343,1.02
491,Nivolumab,mAb_IgG4,3.5,146,8.8,0.3,321,26.03,PBS,7.4,10,NaCl,140,none,0,none,0,none,0,1.3,1.1,64.4,52.090734368908855,43.026137652974505,34.23232435878468,15.155465680842163
492,Nivolumab,mAb_IgG4,3.5,146,8.8,0.3,172,25.77,PBS,7.4,10,NaCl,140,none,0,none,0,none,0,1.3,1.1,4.95,4.871529928156416,4.869452318610989,4.8488822235074664,3.281140481883721
493,Nivolumab,mAb_IgG4,3.5,146,8.8,0.3,99,25.85,PBS,7.4,10,NaCl,140,none,0,none,0,none,0,1.3,1.1,2.37,2.4363815075846658,2.260401894,2.0098135783722286,1.45
494,Nivolumab,mAb_IgG4,3.5,146,8.8,0.3,25,25.73,PBS,7.4,10,NaCl,140,none,0,none,0,none,0,1.3,1.1,1.31,1.31,1.4087540562838334,1.5227159116507298,1.25
495,Nivolumab,mAb_IgG4,3.5,146,8.8,0.3,51,25.72,PBS,7.4,10,NaCl,140,none,0,none,0,none,0,1.3,1.1,1.52,1.52,1.3030148135792754,1.2424562535130548,1.2655298778205604
496,Nivolumab,mAb_IgG4,3.5,146,8.8,0.3,240,25.29,Histidine,6,15,none,0,none,0,none,0,none,0,1.3,1.1,26.91,23.17895406,21.294294701937304,17.06656418528116,6.072965624060352
